Field1,Field2,nope,Field4
ladygaga,taylorswift13,nope,nope
ladygaga,rihanna,yup,yup
ladygaga,twitter,nope,nope
ladygaga,selenagomez,yup,nope
ladygaga,shakira,nope,nope
ladygaga,nytimes,nope,nope
ladygaga,onedirection,yup,yup
ladygaga,wizkhalifa,nope,nope
ladygaga,neymarjr,nope,nope
ladygaga,narendramodi,nope,nope
ladygaga,pitbull,nope,yup
ladygaga,realmadrid,nope,nope
ladygaga,zaynmalik,nope,yup
ladygaga,realdonaldtrump,nope,nope
ladygaga,vine,nope,nope
ladygaga,ricky_martin,nope,yup
ladygaga,shugairi,nope,nope
ladygaga,xtina,yup,yup
ladygaga,priyankachopra,nope,yup
theellenshow,katyperry,yup,yup
theellenshow,justinbieber,yup,yup
theellenshow,taylorswift13,yup,yup
theellenshow,rihanna,yup,nope
theellenshow,youtube,yup,yup
theellenshow,ladygaga,yup,yup
theellenshow,twitter,yup,nope
theellenshow,jtimberlake,yup,yup
theellenshow,britneyspears,yup,yup
theellenshow,selenagomez,yup,nope
theellenshow,cnnbrk,yup,nope
theellenshow,jimmyfallon,yup,yup
theellenshow,shakira,yup,nope
theellenshow,ddlovato,yup,nope
theellenshow,instagram,nope,nope
theellenshow,nytimes,yup,nope
theellenshow,onedirection,yup,yup
theellenshow,espn,yup,nope
theellenshow,wizkhalifa,nope,nope
theellenshow,kanyewest,yup,nope
theellenshow,neymarjr,nope,nope
theellenshow,narendramodi,nope,nope
theellenshow,danieltosh,yup,nope
theellenshow,aliciakeys,yup,nope
theellenshow,pitbull,nope,yup
theellenshow,khloekardashian,yup,nope
theellenshow,iamsrk,nope,nope
theellenshow,kourtneykardash,yup,nope
theellenshow,realmadrid,nope,nope
theellenshow,davidguetta,yup,nope
theellenshow,zaynmalik,yup,nope
theellenshow,aamir_khan,nope,nope
theellenshow,chrisbrown,yup,nope
theellenshow,blakeshelton,yup,nope
theellenshow,coldplay,yup,nope
theellenshow,realdonaldtrump,yup,nope
theellenshow,aplusk,yup,yup
theellenshow,vine,nope,nope
theellenshow,deepikapadukone,nope,nope
theellenshow,edsheeran,yup,yup
theellenshow,ricky_martin,yup,yup
theellenshow,shugairi,nope,nope
theellenshow,xtina,yup,nope
theellenshow,agnezmo,nope,yup
theellenshow,priyankachopra,yup,yup
theellenshow,twitterespanol,yup,nope
theellenshow,ihrithik,nope,nope
theellenshow,akshaykumar,yup,nope
theellenshow,ivetesangalo,yup,nope
twitter,wizkhalifa,nope,nope
twitter,zaynmalik,nope,nope
twitter,vine,yup,nope
twitter,xtina,nope,nope
jtimberlake,katyperry,nope,nope
jtimberlake,justinbieber,nope,yup
jtimberlake,taylorswift13,yup,yup
jtimberlake,rihanna,yup,yup
jtimberlake,ladygaga,nope,nope
jtimberlake,twitter,nope,nope
jtimberlake,selenagomez,nope,nope
jtimberlake,shakira,nope,nope
jtimberlake,nytimes,nope,nope
jtimberlake,onedirection,nope,nope
jtimberlake,wizkhalifa,nope,nope
jtimberlake,kanyewest,nope,nope
jtimberlake,neymarjr,nope,nope
jtimberlake,narendramodi,nope,nope
jtimberlake,pitbull,nope,yup
jtimberlake,khloekardashian,nope,nope
jtimberlake,kourtneykardash,nope,nope
jtimberlake,realmadrid,nope,nope
jtimberlake,zaynmalik,nope,yup
jtimberlake,realdonaldtrump,nope,nope
jtimberlake,vine,nope,nope
jtimberlake,ricky_martin,nope,nope
jtimberlake,shugairi,nope,nope
jtimberlake,xtina,nope,nope
jtimberlake,priyankachopra,nope,nope
britneyspears,katyperry,yup,yup
britneyspears,justinbieber,yup,yup
britneyspears,taylorswift13,nope,yup
britneyspears,rihanna,yup,yup
britneyspears,ladygaga,yup,yup
britneyspears,twitter,yup,nope
britneyspears,jtimberlake,nope,nope
britneyspears,selenagomez,yup,yup
britneyspears,cnnbrk,nope,nope
britneyspears,jimmyfallon,nope,yup
britneyspears,shakira,nope,nope
britneyspears,ddlovato,yup,yup
britneyspears,instagram,nope,nope
britneyspears,nytimes,nope,nope
britneyspears,onedirection,yup,nope
britneyspears,espn,nope,nope
britneyspears,wizkhalifa,nope,nope
britneyspears,kanyewest,nope,nope
britneyspears,neymarjr,nope,nope
britneyspears,narendramodi,nope,nope
britneyspears,danieltosh,nope,nope
britneyspears,pitbull,yup,yup
britneyspears,khloekardashian,yup,nope
britneyspears,iamsrk,nope,nope
britneyspears,kourtneykardash,nope,nope
britneyspears,realmadrid,nope,nope
britneyspears,davidguetta,nope,nope
britneyspears,zaynmalik,nope,yup
britneyspears,chrisbrown,nope,nope
britneyspears,coldplay,nope,nope
britneyspears,realdonaldtrump,nope,nope
britneyspears,vine,nope,nope
britneyspears,deepikapadukone,nope,nope
britneyspears,edsheeran,nope,nope
britneyspears,ricky_martin,nope,yup
britneyspears,shugairi,nope,nope
britneyspears,xtina,yup,nope
britneyspears,priyankachopra,nope,nope
britneyspears,ihrithik,nope,nope
britneyspears,ivetesangalo,nope,yup
kimkardashian,katyperry,nope,nope
kimkardashian,justinbieber,nope,yup
kimkardashian,taylorswift13,nope,nope
kimkardashian,rihanna,nope,nope
kimkardashian,youtube,nope,yup
kimkardashian,ladygaga,nope,nope
kimkardashian,theellenshow,nope,yup
kimkardashian,twitter,nope,nope
kimkardashian,jtimberlake,nope,nope
kimkardashian,britneyspears,nope,yup
kimkardashian,selenagomez,nope,yup
kimkardashian,cnnbrk,nope,nope
kimkardashian,jimmyfallon,nope,yup
kimkardashian,shakira,nope,nope
kimkardashian,ddlovato,yup,yup
kimkardashian,instagram,nope,nope
kimkardashian,oprah,yup,nope
kimkardashian,kingjames,nope,nope
kimkardashian,nytimes,nope,nope
kimkardashian,onedirection,nope,nope
kimkardashian,mileycyrus,nope,nope
kimkardashian,sportscenter,nope,nope
kimkardashian,espn,nope,nope
kimkardashian,pink,nope,nope
kimkardashian,liltunechi,nope,nope
kimkardashian,wizkhalifa,nope,nope
kimkardashian,niallofficial,nope,yup
kimkardashian,kanyewest,yup,yup
kimkardashian,neymarjr,nope,nope
kimkardashian,narendramodi,nope,nope
kimkardashian,danieltosh,nope,nope
kimkardashian,aliciakeys,nope,nope
kimkardashian,srbachchan,nope,nope
kimkardashian,nba,nope,yup
kimkardashian,liampayne,nope,yup
kimkardashian,louis_tomlinson,nope,nope
kimkardashian,pitbull,nope,yup
kimkardashian,khloekardashian,yup,yup
kimkardashian,iamsrk,nope,nope
kimkardashian,kourtneykardash,yup,yup
kimkardashian,realmadrid,nope,nope
kimkardashian,davidguetta,nope,nope
kimkardashian,nfl,nope,nope
kimkardashian,nasa,nope,nope
kimkardashian,nickiminaj,nope,nope
kimkardashian,zaynmalik,nope,nope
kimkardashian,aamir_khan,nope,nope
kimkardashian,kyliejenner,yup,yup
kimkardashian,chrisbrown,nope,nope
kimkardashian,blakeshelton,nope,nope
kimkardashian,coldplay,nope,nope
kimkardashian,realdonaldtrump,nope,nope
kimkardashian,theeconomist,nope,nope
kimkardashian,aplusk,nope,nope
kimkardashian,mariahcarey,nope,nope
kimkardashian,vine,nope,nope
kimkardashian,deepikapadukone,nope,nope
kimkardashian,leodicaprio,nope,nope
kimkardashian,edsheeran,nope,nope
kimkardashian,mohamadalarefe,nope,nope
kimkardashian,ricky_martin,nope,nope
kimkardashian,shugairi,nope,nope
kimkardashian,xtina,yup,yup
kimkardashian,agnezmo,nope,yup
kimkardashian,reuters,nope,nope
kimkardashian,priyankachopra,nope,nope
kimkardashian,twitterespanol,nope,nope
kimkardashian,ihrithik,nope,nope
kimkardashian,akshaykumar,nope,nope
kimkardashian,ryanseacrest,yup,yup
kimkardashian,ivetesangalo,nope,nope
kimkardashian,pmoindia,nope,nope
kimkardashian,snoopdogg,nope,yup
cristiano,katyperry,nope,nope
cristiano,justinbieber,yup,yup
cristiano,taylorswift13,nope,nope
cristiano,rihanna,yup,yup
cristiano,youtube,nope,nope
cristiano,ladygaga,yup,nope
cristiano,theellenshow,nope,yup
cristiano,twitter,nope,nope
cristiano,jtimberlake,nope,nope
cristiano,britneyspears,nope,nope
cristiano,kimkardashian,nope,nope
cristiano,selenagomez,nope,nope
cristiano,cnnbrk,nope,nope
cristiano,jimmyfallon,nope,nope
cristiano,shakira,nope,nope
cristiano,ddlovato,nope,nope
cristiano,instagram,yup,nope
cristiano,jlo,yup,yup
cristiano,oprah,nope,nope
cristiano,drake,nope,nope
cristiano,kingjames,nope,nope
cristiano,nytimes,nope,nope
cristiano,kevinhart4real,nope,nope
cristiano,onedirection,nope,nope
cristiano,mileycyrus,nope,nope
cristiano,sportscenter,nope,yup
cristiano,espn,nope,nope
cristiano,harry_styles,nope,yup
cristiano,pink,nope,nope
cristiano,liltunechi,yup,yup
cristiano,wizkhalifa,nope,nope
cristiano,niallofficial,nope,nope
cristiano,kanyewest,nope,nope
cristiano,neymarjr,nope,yup
cristiano,kaka,yup,yup
cristiano,narendramodi,nope,nope
cristiano,danieltosh,nope,nope
cristiano,aliciakeys,nope,nope
cristiano,srbachchan,nope,yup
cristiano,nba,nope,nope
cristiano,liampayne,nope,yup
cristiano,louis_tomlinson,nope,yup
cristiano,emmawatson,nope,nope
cristiano,pitbull,nope,yup
cristiano,khloekardashian,nope,nope
cristiano,iamsrk,nope,nope
cristiano,kourtneykardash,nope,nope
cristiano,realmadrid,yup,yup
cristiano,davidguetta,nope,yup
cristiano,nfl,nope,yup
cristiano,eminem,nope,nope
cristiano,nasa,nope,nope
cristiano,nickiminaj,nope,nope
cristiano,kendalljenner,nope,nope
cristiano,zaynmalik,nope,yup
cristiano,aamir_khan,nope,nope
cristiano,fcbarcelona,nope,nope
cristiano,kyliejenner,nope,nope
cristiano,chrisbrown,nope,nope
cristiano,blakeshelton,nope,nope
cristiano,coldplay,nope,nope
cristiano,realdonaldtrump,nope,nope
cristiano,theeconomist,nope,nope
cristiano,aplusk,nope,nope
cristiano,mariahcarey,nope,nope
cristiano,vine,yup,nope
cristiano,deepikapadukone,nope,nope
cristiano,leodicaprio,nope,nope
cristiano,google,nope,nope
cristiano,edsheeran,nope,nope
cristiano,mohamadalarefe,nope,nope
cristiano,ricky_martin,nope,yup
cristiano,shugairi,nope,nope
cristiano,xtina,nope,nope
cristiano,agnezmo,nope,nope
cristiano,reuters,nope,nope
cristiano,priyankachopra,nope,nope
cristiano,twitterespanol,nope,nope
cristiano,ihrithik,nope,nope
cristiano,akshaykumar,nope,nope
cristiano,jimcarrey,nope,nope
cristiano,kdtrey5,nope,nope
cristiano,ryanseacrest,nope,nope
cristiano,ivetesangalo,nope,yup
cristiano,pmoindia,nope,nope
cristiano,snoopdogg,nope,yup
selenagomez,taylorswift13,yup,yup
selenagomez,twitter,nope,nope
selenagomez,shakira,nope,nope
selenagomez,wizkhalifa,nope,yup
selenagomez,zaynmalik,nope,yup
selenagomez,vine,nope,nope
selenagomez,shugairi,nope,nope
selenagomez,xtina,nope,nope
cnnbrk,katyperry,nope,nope
cnnbrk,justinbieber,nope,nope
cnnbrk,taylorswift13,nope,nope
cnnbrk,rihanna,nope,nope
cnnbrk,ladygaga,nope,nope
cnnbrk,twitter,nope,nope
cnnbrk,jtimberlake,nope,nope
cnnbrk,selenagomez,nope,nope
cnnbrk,jimmyfallon,nope,yup
cnnbrk,shakira,nope,nope
cnnbrk,ddlovato,nope,nope
cnnbrk,instagram,nope,nope
cnnbrk,nytimes,nope,nope
cnnbrk,onedirection,nope,nope
cnnbrk,espn,nope,nope
cnnbrk,wizkhalifa,nope,nope
cnnbrk,kanyewest,nope,nope
cnnbrk,neymarjr,nope,nope
cnnbrk,narendramodi,nope,yup
cnnbrk,danieltosh,nope,nope
cnnbrk,pitbull,nope,yup
cnnbrk,khloekardashian,nope,yup
cnnbrk,iamsrk,nope,nope
cnnbrk,kourtneykardash,nope,nope
cnnbrk,realmadrid,nope,nope
cnnbrk,davidguetta,nope,nope
cnnbrk,zaynmalik,nope,nope
cnnbrk,coldplay,nope,nope
cnnbrk,realdonaldtrump,nope,nope
cnnbrk,vine,nope,nope
cnnbrk,deepikapadukone,nope,nope
cnnbrk,edsheeran,nope,nope
cnnbrk,ricky_martin,nope,nope
cnnbrk,shugairi,nope,nope
cnnbrk,xtina,nope,nope
cnnbrk,priyankachopra,nope,yup
cnnbrk,ihrithik,nope,nope
cnnbrk,ivetesangalo,nope,nope
jimmyfallon,katyperry,yup,nope
jimmyfallon,justinbieber,yup,yup
jimmyfallon,taylorswift13,yup,yup
jimmyfallon,rihanna,yup,nope
jimmyfallon,ladygaga,yup,nope
jimmyfallon,twitter,nope,nope
jimmyfallon,jtimberlake,yup,yup
jimmyfallon,selenagomez,yup,nope
jimmyfallon,shakira,nope,yup
jimmyfallon,nytimes,yup,nope
jimmyfallon,onedirection,yup,yup
jimmyfallon,wizkhalifa,yup,nope
jimmyfallon,kanyewest,yup,nope
jimmyfallon,neymarjr,nope,nope
jimmyfallon,narendramodi,nope,nope
jimmyfallon,pitbull,yup,yup
jimmyfallon,khloekardashian,yup,nope
jimmyfallon,kourtneykardash,yup,nope
jimmyfallon,realmadrid,nope,nope
jimmyfallon,zaynmalik,yup,nope
jimmyfallon,realdonaldtrump,yup,nope
jimmyfallon,vine,nope,nope
jimmyfallon,ricky_martin,yup,yup
jimmyfallon,shugairi,nope,nope
jimmyfallon,xtina,yup,nope
jimmyfallon,priyankachopra,yup,yup
arianagrande,katyperry,yup,yup
arianagrande,justinbieber,yup,yup
arianagrande,taylorswift13,nope,nope
arianagrande,barackobama,yup,nope
arianagrande,rihanna,yup,nope
arianagrande,youtube,nope,nope
arianagrande,ladygaga,yup,nope
arianagrande,theellenshow,yup,yup
arianagrande,twitter,nope,nope
arianagrande,jtimberlake,yup,yup
arianagrande,britneyspears,yup,nope
arianagrande,kimkardashian,yup,nope
arianagrande,cristiano,nope,nope
arianagrande,selenagomez,yup,yup
arianagrande,cnnbrk,nope,nope
arianagrande,jimmyfallon,yup,yup
arianagrande,shakira,yup,nope
arianagrande,ddlovato,yup,yup
arianagrande,instagram,nope,nope
arianagrande,jlo,nope,yup
arianagrande,oprah,nope,nope
arianagrande,drake,nope,nope
arianagrande,kingjames,nope,nope
arianagrande,billgates,nope,nope
arianagrande,nytimes,nope,nope
arianagrande,kevinhart4real,nope,nope
arianagrande,onedirection,yup,nope
arianagrande,mileycyrus,yup,yup
arianagrande,sportscenter,nope,nope
arianagrande,cnn,nope,nope
arianagrande,espn,nope,nope
arianagrande,harry_styles,yup,yup
arianagrande,pink,nope,nope
arianagrande,liltunechi,yup,nope
arianagrande,wizkhalifa,nope,nope
arianagrande,niallofficial,yup,yup
arianagrande,bbcbreaking,nope,nope
arianagrande,brunomars,yup,nope
arianagrande,kanyewest,yup,nope
arianagrande,neymarjr,nope,nope
arianagrande,kaka,nope,nope
arianagrande,narendramodi,nope,nope
arianagrande,danieltosh,nope,nope
arianagrande,aliciakeys,yup,yup
arianagrande,srbachchan,nope,nope
arianagrande,nba,nope,nope
arianagrande,liampayne,yup,yup
arianagrande,louis_tomlinson,yup,yup
arianagrande,emmawatson,yup,nope
arianagrande,pitbull,yup,nope
arianagrande,khloekardashian,yup,nope
arianagrande,iamsrk,nope,nope
arianagrande,conanobrien,nope,nope
arianagrande,kourtneykardash,yup,nope
arianagrande,realmadrid,nope,nope
arianagrande,davidguetta,nope,nope
arianagrande,beingsalmankhan,nope,nope
arianagrande,nfl,nope,nope
arianagrande,eminem,yup,nope
arianagrande,nasa,nope,nope
arianagrande,nickiminaj,yup,yup
arianagrande,kendalljenner,yup,yup
arianagrande,zaynmalik,yup,yup
arianagrande,avrillavigne,nope,nope
arianagrande,aamir_khan,nope,nope
arianagrande,fcbarcelona,nope,nope
arianagrande,kyliejenner,yup,yup
arianagrande,chrisbrown,yup,nope
arianagrande,blakeshelton,nope,nope
arianagrande,coldplay,yup,nope
arianagrande,realdonaldtrump,nope,nope
arianagrande,theeconomist,nope,nope
arianagrande,aplusk,yup,nope
arianagrande,bbcworld,nope,nope
arianagrande,mariahcarey,nope,nope
arianagrande,vine,nope,nope
arianagrande,deepikapadukone,nope,nope
arianagrande,leodicaprio,yup,nope
arianagrande,google,nope,nope
arianagrande,edsheeran,yup,yup
arianagrande,mohamadalarefe,nope,nope
arianagrande,ricky_martin,nope,nope
arianagrande,shugairi,nope,nope
arianagrande,xtina,yup,nope
arianagrande,agnezmo,yup,yup
arianagrande,reuters,nope,nope
arianagrande,priyankachopra,nope,nope
arianagrande,twitterespanol,nope,nope
arianagrande,ihrithik,nope,nope
arianagrande,akshaykumar,nope,nope
arianagrande,jimcarrey,yup,nope
arianagrande,kdtrey5,nope,nope
arianagrande,ryanseacrest,yup,yup
arianagrande,ivetesangalo,nope,nope
arianagrande,pmoindia,nope,nope
arianagrande,snoopdogg,nope,nope
shakira,taylorswift13,yup,nope
shakira,twitter,nope,nope
shakira,wizkhalifa,nope,nope
shakira,zaynmalik,nope,nope
shakira,vine,nope,nope
shakira,shugairi,nope,nope
shakira,xtina,nope,nope
ddlovato,katyperry,yup,nope
ddlovato,justinbieber,nope,yup
ddlovato,taylorswift13,yup,yup
ddlovato,rihanna,nope,nope
ddlovato,ladygaga,yup,nope
ddlovato,twitter,nope,nope
ddlovato,jtimberlake,yup,nope
ddlovato,selenagomez,nope,yup
ddlovato,jimmyfallon,yup,yup
ddlovato,shakira,nope,nope
ddlovato,instagram,nope,nope
ddlovato,nytimes,nope,nope
ddlovato,onedirection,nope,nope
ddlovato,espn,nope,nope
ddlovato,wizkhalifa,nope,nope
ddlovato,kanyewest,nope,nope
ddlovato,neymarjr,nope,nope
ddlovato,narendramodi,nope,nope
ddlovato,pitbull,yup,yup
ddlovato,khloekardashian,yup,yup
ddlovato,iamsrk,nope,nope
ddlovato,kourtneykardash,nope,nope
ddlovato,realmadrid,nope,nope
ddlovato,zaynmalik,nope,yup
ddlovato,realdonaldtrump,nope,nope
ddlovato,vine,nope,nope
ddlovato,deepikapadukone,nope,nope
ddlovato,edsheeran,yup,yup
ddlovato,ricky_martin,nope,nope
ddlovato,shugairi,nope,nope
ddlovato,xtina,yup,nope
ddlovato,priyankachopra,nope,nope
ddlovato,ihrithik,nope,nope
ddlovato,ivetesangalo,nope,nope
instagram,katyperry,nope,nope
instagram,justinbieber,nope,nope
instagram,taylorswift13,nope,nope
instagram,rihanna,nope,nope
instagram,ladygaga,nope,nope
instagram,twitter,nope,nope
instagram,jtimberlake,nope,nope
instagram,selenagomez,nope,yup
instagram,jimmyfallon,nope,yup
instagram,shakira,nope,nope
instagram,nytimes,nope,nope
instagram,onedirection,nope,nope
instagram,wizkhalifa,nope,nope
instagram,kanyewest,nope,nope
instagram,neymarjr,nope,nope
instagram,narendramodi,nope,nope
instagram,pitbull,nope,nope
instagram,khloekardashian,nope,nope
instagram,kourtneykardash,nope,nope
instagram,realmadrid,nope,nope
instagram,zaynmalik,nope,nope
instagram,realdonaldtrump,nope,nope
instagram,vine,nope,nope
instagram,ricky_martin,nope,nope
instagram,shugairi,nope,nope
instagram,xtina,nope,nope
instagram,priyankachopra,nope,nope
instagram,ivetesangalo,nope,yup
jlo,katyperry,yup,nope
jlo,justinbieber,yup,yup
jlo,taylorswift13,yup,nope
jlo,rihanna,yup,nope
jlo,youtube,yup,yup
jlo,ladygaga,nope,nope
jlo,theellenshow,yup,yup
jlo,twitter,nope,nope
jlo,jtimberlake,yup,nope
jlo,britneyspears,yup,yup
jlo,kimkardashian,yup,yup
jlo,selenagomez,nope,nope
jlo,cnnbrk,nope,nope
jlo,jimmyfallon,yup,yup
jlo,shakira,nope,nope
jlo,ddlovato,yup,yup
jlo,instagram,nope,nope
jlo,oprah,nope,nope
jlo,kingjames,nope,nope
jlo,nytimes,yup,nope
jlo,kevinhart4real,nope,nope
jlo,onedirection,nope,nope
jlo,mileycyrus,nope,nope
jlo,sportscenter,nope,nope
jlo,espn,nope,nope
jlo,pink,nope,nope
jlo,liltunechi,nope,nope
jlo,wizkhalifa,nope,nope
jlo,niallofficial,nope,nope
jlo,kanyewest,yup,nope
jlo,neymarjr,nope,nope
jlo,kaka,nope,nope
jlo,narendramodi,nope,nope
jlo,danieltosh,nope,nope
jlo,aliciakeys,yup,yup
jlo,srbachchan,nope,nope
jlo,nba,nope,yup
jlo,liampayne,nope,nope
jlo,louis_tomlinson,nope,nope
jlo,pitbull,yup,yup
jlo,khloekardashian,yup,yup
jlo,iamsrk,nope,nope
jlo,kourtneykardash,nope,nope
jlo,realmadrid,nope,nope
jlo,davidguetta,nope,nope
jlo,nfl,nope,yup
jlo,nasa,nope,nope
jlo,nickiminaj,yup,yup
jlo,kendalljenner,nope,nope
jlo,zaynmalik,yup,yup
jlo,aamir_khan,nope,nope
jlo,kyliejenner,nope,nope
jlo,chrisbrown,yup,nope
jlo,blakeshelton,nope,nope
jlo,coldplay,nope,nope
jlo,realdonaldtrump,nope,nope
jlo,theeconomist,nope,nope
jlo,aplusk,nope,nope
jlo,mariahcarey,nope,nope
jlo,vine,nope,nope
jlo,deepikapadukone,nope,nope
jlo,leodicaprio,nope,nope
jlo,edsheeran,nope,nope
jlo,mohamadalarefe,nope,nope
